school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Flournoy Elementary,Flournoy Union Elementary,2002-03,35,Natural Disasters & Weather,Inclement Weather,Power outage due to severe winter storm,"December 16 and 17, 2002",2002,2,52715306053524,Tehama
Foothill High (Alternative),Yosemite Joint Union High,2002-03,33,Natural Disasters & Weather,Inclement Weather,power outage at school sites and snow at higher elevations,"December 20, 2002",2002,1,,
Foothill Intermediate,Marysville Joint Unified,2002-03,276,Natural Disasters & Weather,Inclement Weather,Power and phone outages due to high winds,"December 16 and 17, 2002",2002,2,58727366056691,Yuba
Forest Ranch Elementary,Chico Unified,2002-03,71,Infrastructure,Power Outage,No electrical power,"December 16 and 17, 2002",2002,2,4614246002992,Butte
Foresthill Divide,Foresthill Union Elementary,2002-03,333,Natural Disasters & Weather,Inclement Weather,Major winter storm caused power outage in the district.,"November 8, 2002",2002,1,31668376031116,Placer
Foresthill Divide Middle,Foresthill Union Elementary,2002-03,290,Natural Disasters & Weather,Inclement Weather,Major winter storm caused power outage in the district.,"November 8, 2002",2002,1,31668376107478,Placer
Forestville Union Elementary,Forestville Union Elementary,2002-03,665,Natural Disasters & Weather,Inclement Weather,energy loss due to inclement weather,"December 16, 2002",2002,1,,
Fort Bragg High,Fort Bragg Unified,2002-03,626,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,23655652331361,Mendocino
Fort Bragg Middle,Fort Bragg Unified,2002-03,510,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,23655656061667,Mendocino
Fort Ross Elementary,Fort Ross Elementary,2002-03,61,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16 through 20, 2002",2002,5,49706986051726,Sonoma
Fort Sage Middle,Fort Sage Unified,2002-03,45,Natural Disasters & Weather,Inclement Weather,"Severe storm dropped power lines, resulting in loss of electricity, storm flooded Sierra Primary School (12/17/02)","December 16, 2002",2002,1,18750366010714,Lassen
Fortuna Middle,Fortuna Union Elementary,2002-03,367,Infrastructure,Power Outage,county-wide power outage,"December 19, 2002",2002,1,,
Fortuna Union High,Fortuna Union High,2002-03,1139,Natural Disasters & Weather,Inclement Weather,Massive windstorm knocked out almost all of electrical power to humboldt county,"December 19, 2002",2002,1,12628101233402,Humboldt
Franklin Elementary,Franklin Elementary,2002-03,410,Infrastructure,Power Outage,Power outage for 32 hours,"December 17, 2002",2002,1,51713816053250,Sutter
Franklin Elementary,Loomis Union Elementary,2002-03,693,Infrastructure,Power Outage,Power outage,"December 20, 2002",2002,1,31668456031124,Placer
French Gulch-Whiskeytown Elementary,French Gulch-Whiskeytown Elementary,2002-03,22,Natural Disasters & Weather,Inclement Weather,Power failure due to inclement weather,"December 16, 2002",2002,1,45699976050322,Shasta
Freshwater Charter Middle,Freshwater Elementary,2002-03,43,Natural Disasters & Weather,Inclement Weather,severe storm causing flooding and loss of electricity.,"December 19, 2002",2002,1,12628286116289,Humboldt
Freshwater Elementary,Freshwater Elementary,2002-03,258,Natural Disasters & Weather,Inclement Weather,severe storm causing flooding and loss of electricity.,"December 19, 2002",2002,1,12628286007884,Humboldt
Gard Street Elementary,Kelseyville Unified,2002-03,186,Natural Disasters & Weather,Inclement Weather,"Severe weather causing power outages, flooding, and downed trees which blocked the roadway.","December 16, 2002",2002,1,17640146069587,Lake
Gardner Bullis Elementary,Los Altos Elementary,2002-03,341,Natural Disasters & Weather,Inclement Weather,Power outage and flooding on school campuses.,"December 16, 2002",2002,1,43695186047427,Santa Clara
Garfield Elementary,Garfield Elementary,2002-03,55,Natural Disasters & Weather,Inclement Weather,Power failure that lasted 19 hours caused by severe storm,"December 19, 2002",2002,1,12628366007892,Humboldt
Gateway High (Continuation),Big Valley Joint Unified,2002-03,3,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 16, 2002",2002,1,18640891830041,Lassen
Gault Elementary,Santa Cruz City Elementary,2002-03,391,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698156049894,Santa Cruz
George T. Egling Middle,Colusa Unified,2002-03,548,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,6615986057152,Colusa
Gerber Community Day,Gerber Union Elementary,2002-03,5,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,52715486114359,Tehama
Gerber Union Elementary,Gerber Union Elementary,2002-03,503,Natural Disasters & Weather,Inclement Weather,"Loss of electrical power, damage of two CR due to winds and flooding.","December 16, 2002",2002,1,,
Gerboth (Jack) High,West Sonoma County Union High,2002-03,8,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,49706074930178,Sonoma
Glacier High School Charter,Yosemite Joint Union High,2002-03,21,Natural Disasters & Weather,Inclement Weather,power outage at school sites and snow at higher elevations,"December 20, 2002",2002,1,,
Glenshire Elementary,Tahoe-Truckee Unified,2002-03,504,Natural Disasters & Weather,Inclement Weather,"Five-day period of heavy snowfall, power outages and impassable roads.","December 19 and 20, 2002",2002,2,31669446113062,Placer
Gold Oak Elementary,Gold Oak Union Elementary,2002-03,442,Infrastructure,Power Outage,Power outage,"November 7, 2002",2002,1,9618796005508,El Dorado
Golden Feather Community Day,Golden Feather Union Elementary,2002-03,4,Natural Disasters & Weather,Inclement Weather,Loss of electricity due to high winds,"December 16, 2002",2002,1,4614576118244,Butte
Grant Elementary,Eureka City Schools,2002-03,187,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755156007777,Humboldt
Grant Elementary,Grant Elementary,2002-03,538,Infrastructure,Power Outage,Power outage,"December 16 and 17, 2002",2002,2,45700036050330,Shasta
Grant Elementary,Petaluma City Elementary,2002-03,338,Infrastructure,Power Outage,Power Outage,"November 8, 2002",2002,1,49708546051940,Sonoma
Gravenstein Community Day,Gravenstein Union Elementary,2002-03,4,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 16, 2002",2002,1,49707146119655,Sonoma
Gravenstein Community Day,Gravenstein Union Elementary,2002-03,4,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"November 8, 2002",2002,1,49707146119655,Sonoma
Gravenstein Elementary,Gravenstein Union Elementary,2002-03,301,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 16, 2002",2002,1,49707146051742,Sonoma
Gravenstein Elementary,Gravenstein Union Elementary,2002-03,301,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"November 8, 2002",2002,1,49707146051742,Sonoma
Greenwood Elementary,Mendocino Unified,2002-03,6,Infrastructure,Power Outage,"Loss of electricity (11/8/02, 12/16/02, 12/17/02)","November 8, 2002, December 16, and 17, 2002",2002,3,23655816025159,Mendocino
Greenwood Elementary,Mendocino Unified,2002-03,6,Infrastructure,Facilities Issues,water main break (12/20/02),"November 8, 2002, December 16, 17, and 20, 2002",2002,1,23655816025159,Mendocino
Guerneville Community Day,Guerneville Elementary,2002-03,3,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 16 and 20, 2002",2002,2,49707226119465,Sonoma
Guerneville Elementary,Guerneville Elementary,2002-03,402,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 16 and 20, 2002",2002,2,49707226051767,Sonoma
Hall Middle,Larkspur-Corte Madera,2002-03,311,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"November 8, 2002",2002,1,21653676024350,Marin
Happy Valley Elementary,Happy Valley Union Elementary,2002-03,379,Natural Disasters & Weather,Inclement Weather,"Severe wind and rain storm, power outage, trees down in roads - impassable roads.","December 16 and 17, 2002",2002,2,45700116050348,Shasta
Happy Valley Primary,Happy Valley Union Elementary,2002-03,279,Natural Disasters & Weather,Inclement Weather,"Severe wind and rain storm, power outage, trees down in roads - impassable roads.","December 16 and 17, 2002",2002,2,45700116097703,Shasta
Harbor High,Santa Cruz City Elementary/High,2002-03,1240,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,,
Harbor High,Santa Cruz City High,2002-03,1240,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698234432340,Santa Cruz
Harbor High,Santa Cruz City High,2002-03,1240,Infrastructure,Facilities Issues,Water main break (Harbor High School - 9/19/02),"September 19, 2002",2002,1,44698234432340,Santa Cruz
Harbour Way Day,West Contra Costa Unified,2002-03,38,Infrastructure,Power Outage,Power outage,"November 8, 2002",2002,1,,
Hayfork High,Mountain Valley Unified,2002-03,163,Infrastructure,Facilities Issues,Failure of water main - kitchen and restrooms unoperable (safety/heatlth hazard to students),"September 16, 2002",2002,1,53750285337407,Trinity
Headwaters Community Day,Mt. Shasta Union Elementary,2002-03,3,Natural Disasters & Weather,Inclement Weather,"Excessive snow resulting in poor road conditions, school closed as per CHP recommendation.","December 20, 2002",2002,1,47704256114425,Siskiyou
Hemlock Elementary,Vacaville Unified,2002-03,318,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051346,Solano
Herlong High,Fort Sage Unified,2002-03,81,Natural Disasters & Weather,Inclement Weather,"Severe storm dropped power lines, resulting in loss of electricity, storm flooded Sierra Primary School (12/17/02)","December 16, 2002",2002,1,18750361833409,Lassen
Hillcrest Middle,Gravenstein Union Elementary,2002-03,188,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 16, 2002",2002,1,49707146051759,Sonoma
Hillcrest Middle,Gravenstein Union Elementary,2002-03,188,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"November 8, 2002",2002,1,49707146051759,Sonoma
Hillview Middle,Menlo Park City Elementary,2002-03,652,Natural Disasters & Weather,Inclement Weather,Loss of electrical power due to wind and storm.,"November 8, 2002",2002,1,41689656044150,San Mateo
Hoaglin-Zenia Elementary,Southern Trinity Joint Unified,2002-03,11,Infrastructure,Power Outage,Power outages,"December 16, 19, and 20, 2002",2002,3,53738336053755,Trinity
Honeydew Elementary,Mattole Unified,2002-03,2,Infrastructure,Power Outage,Power outages,"11/8/02, 12/16 - 12/20/02",2002,6,12753826107874,Humboldt
Horicon Elementary,Horicon Elementary,2002-03,86,Infrastructure,Power Outage,power outage,"December 16 through 20, 2002",2002,5,49707636051809,Sonoma
Humboldt Bay High,Eureka City Schools,2002-03,40,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755151230101,Humboldt
Hyampom Elementary,Mountain Valley Unified,2002-03,10,Infrastructure,Power Outage,Power outage,"December 20, 2002",2002,1,,
Hydesville Elementary,Hydesville Elementary,2002-03,179,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 19, 2002",2002,1,12628856007942,Humboldt
Igo-Ono Elementary,"Igo, Ono, Platina Union Elementary",2002-03,94,Natural Disasters & Weather,Inclement Weather,Power failure caused by inclement weather,"December 16, 17, 19 and 20, 2002",2002,4,45700296050355,Shasta
Indian Diggings Elementary,Indian Diggings Elementary,2002-03,36,Infrastructure,Power Outage,Power outage for 52 hours,"November 7 and 8, 2002",2002,2,9618956005524,El Dorado
Indian Valley Elementary,Stony Creek Joint Unified,2002-03,39,Natural Disasters & Weather,Inclement Weather,Poweroutage due to severe storm.,"December 16 through 20, 2002",2002,5,11626536007553,Glenn
Intermountain High,Kelseyville Unified,2002-03,10,Natural Disasters & Weather,Inclement Weather,"Severe weather causing power outages, flooding, and downed trees which blocked the roadway.","December 16, 2002",2002,1,17640141730100,Lake
Jackson Elementary,Morgan Hill Unified,2002-03,547,Natural Disasters & Weather,Inclement Weather,Flooding due to heavy rainstorm,"December 16, 2002",2002,1,,
Jackson Heights Elementary,Red Bluff Union Elementary,2002-03,557,Natural Disasters & Weather,Inclement Weather,power outage due to extreme weather conditions.,"December 16, 2002",2002,1,52716216053631,Tehama
Jacoby Creek Elementary,Jacoby Creek Elementary,2002-03,415,Natural Disasters & Weather,Inclement Weather,Power outage due to inclement weather,"December 19, 2002",2002,1,,
James M. Burchfield Primary,Colusa Unified,2002-03,468,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,6615986003495,Colusa
Jean Callison Elementary,Vacaville Unified,2002-03,750,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736109094,Solano
Jefferson Elementary,Eureka City Schools,2002-03,206,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755156007785,Humboldt
Joe Hamilton Elementary,Del Norte County Unified,2002-03,403,Natural Disasters & Weather,Inclement Weather,"Heavy rain and hurricane force winds brought down trees, power lines and closed many roadways, making travel throughout district hazardous and unsafe for students and staff.","December 16, 2002",2002,1,8618206005391,Del Norte
John Baldwin Elementary,San Ramon Valley Unified,2002-03,609,Natural Disasters & Weather,Inclement Weather,Severe storm caused power outages at school sites leaving facilities unsafe for students.,"December 16, 2002",2002,1,7618046005102,Contra Costa
Junction Elementary,Junction Elementary,2002-03,298,Infrastructure,Power Outage,Widespread power outages,"December 16, 2002",2002,1,45700456050397,Shasta
